x1,x2,y
1.190565,5.914472,0.0
-0.951945,-3.341506,1.0
0.649365,5.942219,0.0
-4.236969,-2.741721,1.0
-3.150494,5.824262,0.0
2.735467,2.988896,1.0
-1.666147,5.532285,0.0
4.213620,-5.686865,1.0
-2.252298,5.810255,0.0
-3.439612,-5.556818,1.0
4.948196,5.167081,0.0
4.265238,-2.136932,1.0
-4.921206,5.649412,0.0
5.321801,-4.482940,1.0
5.041077,5.693814,0.0
-2.121460,-3.379130,1.0
3.987948,5.717899,0.0
3.452076,-0.962489,1.0
-4.772713,5.504259,0.0
-1.832141,-0.794581,1.0
5.965676,5.562072,0.0
-2.499918,-4.128636,1.0
0.794986,5.661155,0.0
4.051716,-2.806232,1.0
-4.339348,5.288138,0.0
5.454671,-3.343675,1.0
4.392785,5.769662,0.0
3.420570,-2.481829,1.0
-0.353849,5.432492,0.0
5.979544,-1.805139,1.0
5.267447,5.992446,0.0
4.068566,4.384115,1.0
3.823661,5.136031,0.0
4.535406,2.569053,1.0
-2.209455,5.846220,0.0
-3.176992,4.300940,1.0
3.301085,5.668092,0.0
-4.266721,1.222781,1.0
-1.643253,5.919953,0.0
3.294530,3.171740,1.0
-3.042683,5.811467,0.0
4.639066,4.779802,1.0
-4.084378,5.928871,0.0
3.073431,-4.852561,1.0
-4.989099,5.107140,0.0
5.388981,-3.391711,1.0
5.135251,5.080339,0.0
4.530741,-3.843278,1.0
-3.738906,5.100168,0.0
-0.951955,-3.508584,1.0
1.997977,5.003302,0.0
-5.016684,-3.403056,1.0
-2.640710,5.796111,0.0
4.484503,-0.950843,1.0
-3.637434,5.823514,0.0
1.606717,4.089482,1.0
5.021763,5.386687,0.0
-5.907972,4.717029,1.0
-4.885473,5.930671,0.0
3.568291,-3.734574,1.0
3.418817,5.025335,0.0
3.607822,0.672241,1.0
-4.337865,5.754886,0.0
-1.250653,4.271144,1.0
3.341802,5.829740,0.0
-2.482178,-5.960685,1.0
-3.651716,5.801180,0.0
-5.145549,2.750212,1.0
-1.289176,5.405446,0.0
0.661973,1.784701,1.0
1.843840,5.710044,0.0
3.414482,3.201948,1.0
1.672481,5.692223,0.0
4.387310,-2.487414,1.0
5.543672,5.243542,0.0
-5.583992,1.851770,1.0
2.989791,5.709629,0.0
1.482355,1.945310,1.0
0.733536,5.267246,0.0
-0.786847,-0.539977,1.0
-3.396106,5.825015,0.0
4.063789,-3.898092,1.0
-0.908608,5.512983,0.0
3.418252,-5.432542,1.0
4.024375,5.836956,0.0
-2.546025,0.962477,1.0
5.740712,5.074325,0.0
-5.654712,1.248517,1.0
-1.257751,5.488871,0.0
-3.096326,4.047171,1.0
-3.198420,5.073790,0.0
0.374566,-4.663710,1.0
1.019153,5.455291,0.0
-3.863167,3.756051,1.0
-0.653746,5.247376,0.0
-5.439734,2.397416,1.0
1.103467,5.986392,0.0
4.307557,1.113895,1.0
-5.872947,5.689088,0.0
-4.996506,-0.269227,1.0
-3.850977,5.318359,0.0
1.319498,0.809435,1.0
-4.140165,5.122230,0.0
-3.344895,2.346788,1.0
-3.638843,5.982296,0.0
-1.109449,1.496626,1.0
-0.572345,5.298080,0.0
3.663617,2.404984,1.0
1.832388,5.473689,0.0
2.584421,-3.634785,1.0
0.856376,5.557306,0.0
5.283628,1.930530,1.0
5.053231,5.828732,0.0
-3.017215,1.673646,1.0
0.974944,5.943161,0.0
3.418785,3.516098,1.0
0.475827,5.615578,0.0
-3.953492,-2.343515,1.0
0.157393,5.653908,0.0
0.471281,0.825726,1.0
5.971342,5.169908,0.0
3.282934,0.266031,1.0
-5.383143,5.759255,0.0
1.599520,3.137422,1.0
-4.649172,5.684805,0.0
-4.981477,0.322584,1.0
2.063053,5.867645,0.0
-2.984663,-3.222664,1.0
4.367088,5.820568,0.0
-1.418111,-2.187162,1.0
-5.030469,5.453399,0.0
4.568370,4.591753,1.0
1.598865,5.062672,0.0
-1.338166,-2.554929,1.0
1.042717,5.470995,0.0
-3.978442,-1.676435,1.0
4.410652,5.910151,0.0
-2.191546,-5.309438,1.0
1.400419,5.423964,0.0
-0.860109,4.145549,1.0
0.245920,5.587560,0.0
2.237040,1.937669,1.0
5.095357,5.836576,0.0
4.288653,-4.612153,1.0
3.545304,5.958072,0.0
0.639038,0.313256,1.0
-2.687191,5.191617,0.0
1.002709,4.531899,1.0
4.901056,5.025602,0.0
0.600884,-4.938462,1.0
4.948277,5.842481,0.0
3.161321,-3.680742,1.0
0.569385,5.829045,0.0
-4.469554,0.203029,1.0
-1.913217,5.281593,0.0
1.456370,-2.783845,1.0
-5.902247,5.468803,0.0
-5.650623,-2.020621,1.0
1.902364,5.514518,0.0
-5.007821,1.548404,1.0
-1.653335,5.203200,0.0
-5.647097,-2.762358,1.0
3.281018,5.036397,0.0
3.438845,4.669981,1.0
-2.522879,5.989305,0.0
-5.508529,-1.854913,1.0
1.445373,5.193276,0.0
-3.218820,-2.704307,1.0
-0.563074,5.205657,0.0
4.961608,1.742143,1.0
0.203026,5.131648,0.0
1.228705,-1.159483,1.0
0.400791,5.047699,0.0
-0.636884,-0.105561,1.0
-4.594902,5.744215,0.0
0.039670,-5.258658,1.0
5.345877,5.076077,0.0
5.241784,-5.332893,1.0
5.278105,5.557494,0.0
-0.405658,-1.889378,1.0
2.359280,5.212389,0.0
3.233526,-2.126711,1.0
-4.682773,5.315146,0.0
1.323586,-2.498397,1.0
4.921798,5.325999,0.0
-5.864142,-2.641366,1.0
0.612126,5.000462,0.0
3.152095,-2.741842,1.0
-1.022867,5.334871,0.0
4.341564,-3.339537,1.0
-0.561599,5.606946,0.0
-1.829295,-0.953551,1.0
4.456352,5.953550,0.0
4.616229,4.965888,1.0
-4.010129,5.877332,0.0
-1.356392,3.125830,1.0
-1.721872,5.246833,0.0
-2.949778,-4.925864,1.0
-5.248229,5.507141,0.0
-0.946166,-2.216984,1.0
3.121117,5.308698,0.0
0.570943,-4.165522,1.0
-4.840575,5.226456,0.0
-3.915087,-4.873258,1.0
-2.856377,5.439086,0.0
3.438532,-0.598637,1.0
-5.296051,5.639343,0.0
2.882578,3.489305,1.0
