x1,x2,y
24.914526,1.704803,0.0
9.189993,-5.707804,1.0
-24.037968,1.394041,0.0
3.854345,-19.279529,1.0
-24.009245,9.615266,0.0
-15.641628,-2.362363,1.0
-20.258220,20.474049,0.0
-3.858540,-16.614715,1.0
2.035198,5.683228,0.0
-6.250540,-19.670240,1.0
-6.719733,14.534519,0.0
-17.657387,-15.277272,1.0
9.141852,4.313588,0.0
5.337956,-6.276569,1.0
8.733237,2.302970,0.0
-8.040579,-8.696555,1.0
13.504379,4.865130,0.0
-13.015630,-8.544463,1.0
-25.567453,20.325287,0.0
17.743979,-12.030055,1.0
11.156214,6.198564,0.0
-23.721592,-15.802670,1.0
-2.018696,-2.008141,0.0
17.346968,-19.993660,1.0
22.995995,-0.939422,0.0
-15.012785,-21.130666,1.0
2.888735,2.005589,0.0
25.884212,-11.603509,1.0
-1.397801,17.726952,0.0
-8.293047,-23.715619,1.0
-25.063254,19.250948,0.0
3.925857,-16.441077,1.0
-11.823288,-0.767158,0.0
-23.540001,-23.497939,1.0
-21.537894,2.918032,0.0
15.884822,-9.554885,1.0
11.533158,1.345699,0.0
2.977617,-3.494736,1.0
17.631848,6.187177,0.0
-2.890697,-21.164735,1.0
7.912339,21.922908,0.0
7.884967,-25.688908,1.0
-18.673813,23.338028,0.0
-13.038633,-19.414081,1.0
4.257084,9.725661,0.0
-16.692752,-20.755074,1.0
-22.940787,19.414419,0.0
-9.624261,-5.306878,1.0
3.755972,10.727106,0.0
3.529293,-20.794574,1.0
0.210403,11.635050,0.0
13.955180,-1.618498,1.0
-15.801222,7.517961,0.0
10.532394,-8.715132,1.0
-11.892241,19.920194,0.0
-3.225632,-2.539660,1.0
21.704275,13.586894,0.0
24.071734,-6.947234,1.0
15.276154,23.947297,0.0
5.116814,-18.164437,1.0
10.007286,25.138717,0.0
17.789845,-16.422904,1.0
-0.530254,0.358383,0.0
-7.456913,-17.510787,1.0
-19.337472,8.768961,0.0
11.522826,-5.745415,1.0
13.119882,25.916582,0.0
8.048541,-3.968733,1.0
-16.618173,6.128607,0.0
0.009273,-13.572199,1.0
24.010393,24.142180,0.0
-10.538052,-14.001235,1.0
1.553965,19.019748,0.0
4.303368,-16.043417,1.0
5.816043,6.057448,0.0
-12.511636,-11.130590,1.0
-4.835348,16.136262,0.0
-2.397835,-13.694823,1.0
1.261450,3.239768,0.0
