x1,x2,x3,y
2.944463,2.794818,2.579934,0.0
-8.970809,11.609047,-11.162284,1.0
1.647258,11.857832,3.881470,0.0
3.626111,-9.545770,-5.787242,1.0
7.591036,-7.850611,2.996516,0.0
0.658904,-10.606308,-9.722702,1.0
12.212697,-2.004242,7.470929,0.0
-10.004071,2.370356,-2.618279,1.0
9.320095,-3.569729,11.020892,0.0
-9.202386,10.696560,-12.178824,1.0
-8.975852,3.661865,6.382352,0.0
8.886716,8.630910,0.317146,1.0
-7.930471,11.779299,10.970693,0.0
2.721333,-9.760103,-1.609666,1.0
-7.895059,-7.455597,8.395380,0.0
0.188395,-8.052956,-4.796322,1.0
8.715892,4.801303,7.470687,0.0
7.790334,-11.856531,-6.800466,1.0
-8.106400,-1.065582,11.518956,0.0
-3.296904,-12.657500,-4.672282,1.0
-11.627785,2.215858,0.957021,0.0
-8.509125,-11.268754,-8.419501,1.0
-11.876445,-4.211431,6.322926,0.0
4.039218,-4.067608,-12.502422,1.0
-8.735105,5.098078,4.896537,0.0
10.829236,-9.030851,-4.961043,1.0
-12.526337,4.255584,3.010073,0.0
5.465549,6.684258,-0.015510,1.0
-6.561231,10.196355,7.113890,0.0
-2.268904,10.526639,-5.689104,1.0
-4.915741,-7.651756,11.887060,0.0
2.470724,2.266377,-6.499007,1.0
7.482983,-6.301470,3.761147,0.0
5.675395,0.767115,-10.909629,1.0
-7.121068,-3.787040,0.265718,0.0
5.374512,12.616596,-4.138983,1.0
-1.333162,-6.449199,3.958151,0.0
9.978268,-0.843878,-5.842431,1.0
-6.996956,8.556901,1.659956,0.0
7.623058,-7.260875,-4.512324,1.0
-1.789126,10.164767,11.317710,0.0
6.763245,5.859644,-5.567713,1.0
-0.583955,-9.733023,5.452724,0.0
12.276159,-10.598089,-3.910460,1.0
-1.564413,-1.897203,11.864373,0.0
9.071832,-3.313173,-8.050896,1.0
3.180797,6.848771,10.855209,0.0
6.413960,-2.173664,-6.371092,1.0
6.586554,5.816081,11.090680,0.0
-8.342526,-1.633358,-10.418113,1.0
5.655173,-6.304779,0.997610,0.0
3.705303,-9.777135,-4.269574,1.0
5.942594,11.576565,9.364160,0.0
-3.879034,8.279929,-5.949334,1.0
12.498562,-10.263623,-0.195133,0.0
-1.948199,-0.974664,-3.851268,1.0
-5.120610,5.102202,0.195612,0.0
-4.015265,-2.952172,-7.966565,1.0
-4.974529,2.688885,9.850409,0.0
-7.304081,-7.689105,-6.609280,1.0
-3.362785,6.479698,5.952466,0.0
11.926088,-6.232791,-5.078298,1.0
1.727809,8.887580,3.235295,0.0
-2.269924,-6.604920,-9.648960,1.0
-5.828441,12.584354,3.538648,0.0
9.569960,-2.480934,-2.412739,1.0
11.040440,7.867838,11.520005,0.0
-0.797909,3.947579,-10.184199,1.0
10.040099,-11.250303,3.366756,0.0
12.184588,11.976976,-3.047987,1.0
-7.072952,11.297846,9.600319,0.0
-0.202254,5.520972,-10.634683,1.0
-1.680056,0.094091,1.119421,0.0
-9.689554,-10.738861,-10.067631,1.0
-6.853515,-12.623238,-2.486315,0.0
4.381546,-10.560707,-10.628998,1.0
-1.536950,-1.121035,4.998468,0.0
2.436953,-2.133678,-2.675880,1.0
8.373244,5.912666,1.619726,0.0
5.034088,-0.088994,-11.727820,1.0
-7.585435,-0.410563,12.086383,0.0
-8.032521,11.818630,-2.425260,1.0
-8.921924,-11.583967,2.427332,0.0
9.404516,7.294267,-7.561564,1.0
3.066261,1.850445,2.527724,0.0
10.988579,6.651631,-6.183234,1.0
7.950795,-2.980145,12.238176,0.0
-1.706103,-2.470480,-4.418665,1.0
7.843934,-6.997301,6.498093,0.0
12.083297,-0.828289,-2.412634,1.0
3.228936,-3.274849,4.528709,0.0
12.428864,-4.088928,-12.468305,1.0
-5.806831,-8.216213,2.575889,0.0
-9.722426,-0.014914,-2.411270,1.0
-7.922093,-1.009967,3.691237,0.0
1.545540,-8.105919,-1.447575,1.0
-12.249453,-1.348890,11.546406,0.0
-10.312715,11.797914,-11.231001,1.0
7.251255,-9.764077,-0.772728,0.0
11.832039,0.279843,-9.526848,1.0
-12.314125,12.504310,10.758360,0.0
3.702427,-6.911188,-10.706593,1.0
12.620687,-5.706647,12.031922,0.0
-7.770955,4.764926,-1.287846,1.0
-9.156748,9.740453,2.134050,0.0
-6.857291,0.713898,-10.004269,1.0
-7.892388,11.827341,3.588404,0.0
11.387426,2.868084,-5.995167,1.0
-2.034990,-0.477659,11.281383,0.0
6.329759,-9.335700,-7.021934,1.0
-5.612408,8.251283,7.351130,0.0
4.769599,9.056685,-6.555025,1.0
3.284885,-10.142668,6.386661,0.0
9.095647,-12.666889,-7.078839,1.0
-11.716632,-6.238166,12.761045,0.0
-6.843260,6.124382,-8.395387,1.0
4.632700,12.188272,2.941597,0.0
-11.455441,6.006762,-11.624478,1.0
4.621414,1.713145,0.270077,0.0
-5.836124,11.468746,-12.794667,1.0
-9.891248,4.197697,2.949919,0.0
6.684235,9.136005,-5.453662,1.0
10.201970,-4.291949,8.543385,0.0
-12.443517,-11.790909,-5.586604,1.0
-4.821264,-6.978455,12.493448,0.0
-7.943961,-10.160310,-12.533635,1.0
-3.204288,7.925751,11.855424,0.0
-6.729361,0.427956,-6.006833,1.0
-11.628152,-3.943057,9.443004,0.0
9.216205,-8.838170,-12.302613,1.0
-6.894371,-8.089894,1.482498,0.0
-10.591577,9.766089,-10.360040,1.0
-5.132605,8.304747,8.964895,0.0
0.316308,-8.619795,-6.897138,1.0
-3.751937,-6.012033,4.117349,0.0
-0.209021,-5.809772,-9.158249,1.0
8.069616,-2.757182,2.285697,0.0
3.707615,3.480726,-2.857502,1.0
2.722450,9.012364,2.006430,0.0
-10.053597,-10.808518,-6.137540,1.0
-7.769451,4.432102,1.217766,0.0
-11.757896,-8.552356,-2.864725,1.0
-4.487657,-6.459125,11.722766,0.0
4.108031,0.470516,-6.867082,1.0
-3.957189,0.327357,3.445868,0.0
7.129108,10.920513,-11.738106,1.0
-2.259993,6.698052,11.640869,0.0
11.634671,11.116033,-6.406229,1.0
-8.779046,8.972523,-0.503957,0.0
-2.614320,-9.277630,-5.197128,1.0
-4.221945,4.972661,-0.552209,0.0
6.103291,-1.184026,-10.464900,1.0
-10.683392,2.629066,5.471893,0.0
-11.758141,-12.684078,-11.254161,1.0
-6.867288,11.895549,0.063689,0.0
-3.554015,-7.533717,-6.375017,1.0
11.289537,-3.957252,4.312091,0.0
-5.308342,-1.300594,-3.566599,1.0
4.088908,11.880775,4.885678,0.0
1.503080,-4.931949,-4.593212,1.0
5.009260,-7.760048,10.332505,0.0
6.005296,-9.791720,-12.705718,1.0
-10.499368,-2.074152,9.118338,0.0
-10.438585,-4.495593,-12.243075,1.0
-0.284953,-2.004541,4.313308,0.0
1.675400,-1.544159,-2.195177,1.0
11.025349,10.237776,10.225187,0.0
-1.928985,-10.847999,-4.967318,1.0
7.714332,-9.222777,5.267011,0.0
3.297795,2.044058,-5.878449,1.0
-6.852850,-1.451240,8.412075,0.0
12.275841,9.663451,-1.335652,1.0
-4.221947,4.944010,2.500737,0.0
6.950819,9.608135,-5.967708,1.0
10.273576,-4.007832,0.990262,0.0
11.653257,-9.302390,-8.942328,1.0
3.561361,2.999713,10.907296,0.0
-6.643119,-9.294797,-9.166846,1.0
-6.650262,-1.348346,1.221080,0.0
0.223836,-1.185762,-12.517138,1.0
-5.415448,-9.434445,5.821745,0.0
-8.578659,-2.318140,-4.199737,1.0
7.605441,3.845011,10.226092,0.0
-3.289029,-8.305958,-6.288099,1.0
2.241327,12.389212,1.688167,0.0
-4.564151,-12.093022,-10.633271,1.0
-11.460456,-1.480805,1.823856,0.0
-9.907946,5.154765,-2.189683,1.0
-6.928504,7.037090,4.997869,0.0
11.983905,-7.309982,-8.030155,1.0
-2.494471,8.232969,6.969534,0.0
-4.074007,8.161639,-0.966278,1.0
7.802687,-9.036604,8.906837,0.0
