x1,x2,x3,y
8.647910,-11.368266,12.266991,0.0
-3.162878,12.708315,-0.975307,1.0
-7.209865,-11.405383,6.354218,0.0
-2.436772,5.170059,-1.591191,1.0
-3.287603,-9.938284,9.325251,0.0
3.323514,-0.905342,-11.016644,1.0
1.642766,-12.428138,-1.074624,0.0
-12.163854,3.705978,-4.572436,1.0
0.371832,2.987159,7.018068,0.0
-9.405977,-6.258598,-4.243046,1.0
-9.080275,-10.574268,0.678602,0.0
7.646158,-3.019665,-12.522856,1.0
-1.770406,-8.021099,4.132126,0.0
11.682346,-6.809613,-0.643927,1.0
-3.451543,-0.489294,1.023346,0.0
1.986145,-1.261342,-6.948789,1.0
-9.270526,-8.128515,11.823186,0.0
6.426396,2.029314,-1.185956,1.0
9.701756,11.012475,3.938239,0.0
-11.501521,-0.470905,-7.813610,1.0
4.143123,1.460895,6.562949,0.0
8.815010,6.678036,-1.265122,1.0
10.009629,-11.364029,8.760260,0.0
-3.595202,-8.562028,-7.992556,1.0
0.204060,-0.757164,3.229696,0.0
1.336470,10.849730,-3.972648,1.0
-9.134432,0.795496,8.969028,0.0
8.649941,-2.846599,-3.397679,1.0
-4.636101,7.457244,2.444123,0.0
-1.545296,12.206786,-4.867962,1.0
5.330661,-7.588064,8.911429,0.0
1.522335,11.477726,0.335346,1.0
-11.377087,-8.304554,2.612313,0.0
-1.225870,4.806986,-6.955244,1.0
1.215894,6.735105,0.819936,0.0
5.274160,-9.992477,-9.796362,1.0
-3.983656,-9.312352,8.345944,0.0
6.979584,6.672091,0.162369,1.0
6.286330,3.153411,9.397610,0.0
-3.728749,-0.277577,-8.928650,1.0
-4.580607,-7.064940,-0.028636,0.0
4.227073,4.408262,-3.606347,1.0
-10.483597,6.979755,10.760122,0.0
-6.638429,-7.281531,-12.734411,1.0
-7.818103,5.950072,10.578380,0.0
-11.623652,-5.113031,-2.900983,1.0
10.074668,6.549699,5.262198,0.0
2.345877,3.155320,-12.191854,1.0
-7.414979,-2.757903,10.746767,0.0
-6.021864,-12.671951,-11.815138,1.0
-10.304679,-6.745149,-0.825951,0.0
-6.049794,4.319201,-10.507082,1.0
5.687873,5.687965,9.307517,0.0
-10.997257,1.102313,-9.952642,1.0
-3.522713,6.571003,5.054510,0.0
-6.565191,-5.167805,-2.317320,1.0
10.229062,-9.748025,7.869606,0.0
-5.669225,0.543072,-12.222329,1.0
-5.828988,3.405288,-0.833302,0.0
1.832845,7.832181,-5.318568,1.0
-10.003900,5.248857,4.736695,0.0
3.730692,7.347272,-10.511265,1.0
10.935341,7.880590,1.425657,0.0
2.581592,-3.177534,-7.306271,1.0
-5.064836,-4.703423,6.251848,0.0
-5.797717,-8.632153,-8.558913,1.0
-7.357586,-10.948500,5.623872,0.0
-10.238719,1.056826,-7.948680,1.0
7.925256,2.975383,11.330210,0.0
8.844895,-3.045270,-9.740902,1.0
-9.924057,-9.628896,11.256092,0.0
-5.634365,-2.374675,-5.906156,1.0
